Device,Branch,Location,PLU,Timestamp
HH03001,1,285,605284364901,19/07/11 12:44
HH03002,1,285,605284364901,19/07/11 12:45
HH03003,1,285,605284364901,19/07/11 12:45
HH03004,1,285,605284364901,19/07/11 12:45
HH03005,1,285,605284364901,19/07/11 12:45
HH03006,1,286,605284364932,19/07/11 12:46
HH03007,1,286,605284364918,19/07/11 12:46
HH03008,1,286,605284364918,19/07/11 12:46
HH03009,1,286,605284364918,19/07/11 12:46
HH03010,1,286,605284364918,19/07/11 12:46
HH03011,1,286,605284364925,19/07/11 12:46
HH03012,1,286,605284364932,19/07/11 12:46
HH03013,1,286,605284364932,19/07/11 12:46
HH03014,1,286,605284364925,19/07/11 12:46
HH03015,1,286,605284364932,19/07/11 12:46
HH03016,1,286,605284364932,19/07/11 12:47
HH03017,1,286,605284364925,19/07/11 12:47
HH03018,1,286,605284364925,19/07/11 12:47
HH03019,1,286,605284364932,19/07/11 12:47
HH03020,1,286,605284364918,19/07/11 12:47
HH03021,1,286,605284364918,19/07/11 12:47
HH03022,1,286,605284364925,19/07/11 12:47
HH03023,1,287,605284289662,19/07/11 12:47
HH03024,1,287,605284289679,19/07/11 12:47
HH03025,1,287,605284289686,19/07/11 12:47
HH03026,1,287,605284289679,19/07/11 12:47
HH03027,1,287,605284289686,19/07/11 12:47
HH03028,1,287,605284289686,19/07/11 12:48
HH03029,1,287,605284289662,19/07/11 12:48
HH03030,1,287,605284289686,19/07/11 12:48
HH03031,1,287,605284289662,19/07/11 12:48
HH03032,1,287,605284289686,19/07/11 12:48
HH03033,1,287,605284289679,19/07/11 12:48
HH03034,1,287,605284289686,19/07/11 12:48
HH03035,1,288,605284364864,19/07/11 12:48
HH03036,1,288,605284364864,19/07/11 12:48
HH03037,1,288,605284364864,19/07/11 12:48
HH03038,1,288,605284364840,19/07/11 12:48
HH03039,1,288,605284364864,19/07/11 12:48
HH03040,1,288,605284364864,19/07/11 12:48
HH03041,1,288,605284364840,19/07/11 12:48
HH03042,1,288,605284364840,19/07/11 12:48
HH03043,1,288,605284364840,19/07/11 12:48
HH03044,1,290,605284288535,19/07/11 12:49
HH03045,1,292,4004757512195,19/07/11 12:49
HH03046,1,292,4004757512195,19/07/11 12:49
HH03047,1,292,4004757512195,19/07/11 12:49
HH03048,1,292,4004757512195,19/07/11 12:49
HH03049,1,292,4004757512195,19/07/11 12:49
HH03050,1,292,4004757512195,19/07/11 12:49
HH03051,1,292,4004757512195,19/07/11 12:49
HH03052,1,292,4004757512195,19/07/11 12:49
HH03053,1,292,4004757512195,19/07/11 12:49
HH03054,1,292,4004757512225,19/07/11 12:50
HH03055,1,292,4004757512225,19/07/11 12:50
HH03056,1,293,4004757512225,19/07/11 12:52
HH03057,1,293,4004757512225,19/07/11 12:52
HH03058,1,294,4004757510962,19/07/11 12:53
HH03059,1,294,4004757510962,19/07/11 12:53
HH03060,1,294,4004757510948,19/07/11 12:53
HH03061,1,294,4004757510900,19/07/11 12:53
HH03062,1,294,4004757510900,19/07/11 12:53
HH03063,1,294,4004757510962,19/07/11 12:53
HH03064,1,294,4004757510948,19/07/11 12:53
HH03065,1,294,4004757510900,19/07/11 12:53
HH03066,1,294,4004757510962,19/07/11 12:53
HH03067,1,294,4004757510900,19/07/11 12:53
HH03068,1,294,4004757510900,19/07/11 12:53
HH03069,1,295,605284294086,19/07/11 12:53
HH03070,1,295,605284294086,19/07/11 12:53
HH03071,1,295,605284294062,19/07/11 12:54
HH03072,1,295,605284294062,19/07/11 12:54
HH03073,1,295,605284294079,19/07/11 12:54
HH03074,1,295,605284294062,19/07/11 12:54
HH03075,1,295,605284294086,19/07/11 12:54
HH03076,1,295,605284294079,19/07/11 12:54
HH03077,1,295,605284294086,19/07/11 12:54
HH03078,1,295,605284294086,19/07/11 12:54
HH03079,1,295,605284294062,19/07/11 12:54
HH03080,1,295,605284294062,19/07/11 12:54
HH03081,1,295,605284294086,19/07/11 12:54
HH03082,1,297,4004757578795,19/07/11 12:55
HH03083,1,297,4004757578764,19/07/11 12:55
HH03084,1,297,4004757578764,19/07/11 12:55
HH03085,1,297,4004757578764,19/07/11 12:55
HH03086,1,297,4004757578764,19/07/11 12:55
HH03087,1,297,4004757578764,19/07/11 12:55
HH03088,1,297,4004757578795,19/07/11 12:55
HH03089,1,297,4004757578795,19/07/11 12:55
HH03090,1,297,4004757578795,19/07/11 12:55
HH03091,1,297,4004757578795,19/07/11 12:55
HH03092,1,298,4004757931576,19/07/11 12:55
HH03093,1,298,4004757931576,19/07/11 12:56
HH03094,1,298,4004757931576,19/07/11 12:56
HH03095,1,298,4004757931576,19/07/11 12:56
HH03096,1,298,4004757931576,19/07/11 12:56
HH03097,1,298,4004757931583,19/07/11 12:56
HH03098,1,298,4004757931583,19/07/11 12:56
HH03099,1,298,4004757931583,19/07/11 12:56
HH03100,1,298,4004757931576,19/07/11 12:56
HH03101,1,298,4004757931576,19/07/11 12:56
HH03102,1,299,4004757575565,19/07/11 12:56
HH03103,1,299,4004757575572,19/07/11 12:56
HH03104,1,299,4004757575565,19/07/11 12:56
HH03105,1,299,4004757575572,19/07/11 12:56
HH03106,1,299,4004757575558,19/07/11 12:57
HH03107,1,299,4004757575558,19/07/11 12:57
HH03108,1,299,4004757575572,19/07/11 12:57
HH03109,1,299,4004757575572,19/07/11 12:57
HH03110,1,299,4004757575572,19/07/11 12:57
HH03111,1,299,7149257575541,19/07/11 12:57
HH03112,1,299,4004757575541,19/07/11 12:57
HH03113,1,299,4004757575541,19/07/11 12:57
HH03114,1,299,4004757575558,19/07/11 12:57
HH03115,1,299,4004757575558,19/07/11 12:57
HH03116,1,299,4004757575558,19/07/11 12:57
HH03117,1,299,4004757575541,19/07/11 12:57
HH03118,1,299,4004757575541,19/07/11 12:57
HH03119,1,299,4004757575541,19/07/11 12:57
HH03120,1,299,4004757575565,19/07/11 12:57
HH03121,1,299,4004757575565,19/07/11 12:57
HH03122,1,299,4004757575565,19/07/11 12:57
HH03123,1,300,4004757574216,19/07/11 12:58
HH03124,1,300,4004757574216,19/07/11 12:58
HH03125,1,300,4004757574216,19/07/11 12:58
HH03126,1,300,4004757574216,19/07/11 12:58
HH03127,1,300,4004757574216,19/07/11 12:58
HH03128,1,300,4004757574216,19/07/11 12:58
HH03129,1,300,4004757574216,19/07/11 12:58
HH03130,1,300,4004757573950,19/07/11 12:58
HH03131,1,300,4004757573950,19/07/11 12:58
HH03132,1,300,4004757574230,19/07/11 12:58
HH03133,1,300,4004757574230,19/07/11 12:58
HH03134,1,300,4004757574223,19/07/11 12:58
HH03135,1,300,4004757574223,19/07/11 12:58
HH03136,1,300,4004757574223,19/07/11 12:58
HH03137,1,300,4004757574223,19/07/11 12:58
HH03138,1,300,4004757574223,19/07/11 12:58
HH03139,1,300,4004757574223,19/07/11 12:58
HH03140,1,300,4004757574223,19/07/11 12:58
HH03141,1,300,4004757574223,19/07/11 12:58
HH03142,1,300,2467314801507,19/07/11 12:59
HH03143,1,300,4004757574223,19/07/11 12:59
HH03144,1,300,4004757574223,19/07/11 12:59
HH03145,1,300,4004757574223,19/07/11 12:59
HH03146,1,300,4004757574223,19/07/11 12:59
HH03147,1,300,4004757574223,19/07/11 12:59
HH03148,1,301,5051746492791,19/07/11 12:59
HH03149,1,301,5051746492791,19/07/11 12:59
HH03150,1,301,5051746492791,19/07/11 12:59
HH03151,1,302,5051746562678,19/07/11 13:00
HH03152,1,302,5051746562661,19/07/11 13:00
HH03153,1,302,5051746562661,19/07/11 13:00
HH03154,1,302,5051746562685,19/07/11 13:00
HH03155,1,303,5051746491503,19/07/11 13:00
HH03156,1,303,5051746491503,19/07/11 13:00
HH03157,1,303,5051746491503,19/07/11 13:00
HH03158,1,303,5051746491503,19/07/11 13:00
HH03159,1,303,5051746491497,19/07/11 13:00
HH03160,1,303,5051746491503,19/07/11 13:00
HH03161,1,304,5039247800338,19/07/11 13:00
HH03162,1,304,5039247800338,19/07/11 13:01
HH03163,1,304,5039247800338,19/07/11 13:01
HH03164,1,304,5039247800338,19/07/11 13:01
HH03165,1,305,5039247289515,19/07/11 13:01
HH03166,1,305,5039247289515,19/07/11 13:01
HH03167,1,305,5039247289515,19/07/11 13:01
HH03168,1,306,5050995401530,19/07/11 13:02
HH03169,1,306,5050995401530,19/07/11 13:02
HH03170,1,306,5050995401530,19/07/11 13:02
HH03171,1,306,5050995401530,19/07/11 13:02
HH03172,1,306,5050995401530,19/07/11 13:02
HH03173,1,306,5050995401530,19/07/11 13:02
HH03174,1,307,5051746560667,19/07/11 13:02
HH03175,1,307,5051746560650,19/07/11 13:02
HH03176,1,307,5051746560674,19/07/11 13:02
HH03177,1,307,5051746560674,19/07/11 13:02
HH03178,1,307,5051746560650,19/07/11 13:02
HH03179,1,307,5051746560667,19/07/11 13:02
HH03180,1,307,5051746560674,19/07/11 13:04
HH03181,1,307,5051746560674,19/07/11 13:04
HH03182,1,307,5051746560674,19/07/11 13:04
HH03183,1,307,5051746560674,19/07/11 13:04
HH03184,1,308,5051746577016,19/07/11 13:04
HH03185,1,308,5051746577016,19/07/11 13:04
HH03186,1,309,5051746552136,19/07/11 13:05
HH03187,1,310,5051746556684,19/07/11 13:05
HH03188,1,311,5051746554659,19/07/11 13:05
HH03189,1,311,5051746554635,19/07/11 13:05
HH03190,1,311,5051746554635,19/07/11 13:05
HH03191,1,312,5051746426598,19/07/11 13:05
HH03192,1,312,5051746426581,19/07/11 13:05
HH03193,1,312,5051746426581,19/07/11 13:05
HH03194,1,312,5051746426581,19/07/11 13:05
HH03195,1,312,5051746426581,19/07/11 13:05
HH03196,1,314,5039247943943,19/07/11 13:06
HH03197,1,314,5039247943943,19/07/11 13:06
HH03198,1,314,5039247943967,19/07/11 13:06
HH03199,1,314,5039247943943,19/07/11 13:06
HH03200,1,315,5051746552075,19/07/11 13:06
HH03201,1,315,5051746552075,19/07/11 13:06
HH03202,1,315,5051746552075,19/07/11 13:06
HH03203,1,315,5051746552068,19/07/11 13:06
HH03204,1,316,5051746554871,19/07/11 13:06
HH03205,1,316,5051746554901,19/07/11 13:06
HH03206,1,317,5051746559975,19/07/11 13:07
HH03207,1,317,5051746560001,19/07/11 13:07
HH03208,1,317,5051746560001,19/07/11 13:07
HH03209,1,317,5051746560001,19/07/11 13:07
HH03210,1,317,5051746560001,19/07/11 13:07
HH03211,1,318,5050995378016,19/07/11 13:07
HH03212,1,318,5050995378023,19/07/11 13:07
HH03213,1,318,5050995378023,19/07/11 13:08
HH03214,1,318,5050995378016,19/07/11 13:08
HH03215,1,318,5050995378016,19/07/11 13:08
HH03216,1,318,5050995377989,19/07/11 13:08
HH03217,1,318,5050995378016,19/07/11 13:08
HH03218,1,318,5050995378047,19/07/11 13:08
HH03219,1,318,5050995377996,19/07/11 13:08
HH03220,1,318,5050995377996,19/07/11 13:08
HH03221,1,318,5050995378023,19/07/11 13:08
HH03222,1,318,5050995378016,19/07/11 13:08
HH03223,1,318,5050995378023,19/07/11 13:08
HH03224,1,318,5050995378023,19/07/11 13:08
HH03225,1,318,5050995378023,19/07/11 13:08
HH03226,1,318,5050995378009,19/07/11 13:08
HH03227,1,318,5050995378016,19/07/11 13:08
HH03228,1,318,5050995378016,19/07/11 13:09
HH03229,1,319,5051746550415,19/07/11 13:09
HH03230,1,319,5051746550408,19/07/11 13:09
HH03231,1,319,5051746550415,19/07/11 13:09
HH03232,1,319,5051746550408,19/07/11 13:09
HH03233,1,319,5051746550385,19/07/11 13:09
HH03234,1,319,5051746550408,19/07/11 13:09
HH03235,1,319,5051746550408,19/07/11 13:09
HH03236,1,319,5051746550408,19/07/11 13:09
HH03237,1,319,5051746550408,19/07/11 13:09
HH03238,1,320,5051746569547,19/07/11 13:10
HH03239,1,320,5051746569561,19/07/11 13:10
HH03240,1,320,5051746569547,19/07/11 13:10
HH03241,1,321,5051746571847,19/07/11 13:10
HH03242,1,321,5051746571878,19/07/11 13:10
HH03243,1,321,5051746571861,19/07/11 13:10
HH03244,1,321,5051746571861,19/07/11 13:10
HH03245,1,321,5051746571861,19/07/11 13:10
HH03246,1,321,5051746571861,19/07/11 13:10
HH03247,1,322,5051746549013,19/07/11 13:11
HH03248,1,322,5051746549013,19/07/11 13:11
HH03249,1,322,5051746549013,19/07/11 13:11
HH03250,1,322,5051746549013,19/07/11 13:11
HH03251,1,323,5051746554550,19/07/11 13:11
HH03252,1,324,5051746495242,19/07/11 13:11
HH03253,1,325,5051746550095,19/07/11 13:11
HH03254,1,325,5051746550095,19/07/11 13:11
HH03255,1,325,5051746550095,19/07/11 13:11
HH03256,1,325,5051746549297,19/07/11 13:12
HH03257,1,325,5051746549297,19/07/11 13:12
HH03258,1,325,5051746549297,19/07/11 13:12
HH03259,1,325,5051746549297,19/07/11 13:12
HH03260,1,325,5051746549297,19/07/11 13:12
