Branch,Location,PLU,Timestamp
1,960,2939457100361,2011/11/22 19:18:59
1,960,2939456800361,2011/11/22 19:19:01
1,960,2939456900368,2011/11/22 19:19:02
1,960,2939456900368,2011/11/22 19:19:03
1,960,2939456700364,2011/11/22 19:19:04
1,960,2939456311669,2011/11/22 19:19:05
1,960,2939556811663,2011/11/22 19:19:06
1,960,2939556511662,2011/11/22 19:19:07
1,960,2939557111663,2011/11/22 19:19:09
1,960,2939556911660,2011/11/22 19:19:13
1,960,2939556711666,2011/11/22 19:19:13
1,960,2847114226975,2011/11/22 19:19:15
1,960,2847114226975,2011/11/22 19:19:17
1,960,2847114026971,2011/11/22 19:19:19
1,960,2847214026987,2011/11/22 19:19:23
1,960,2847214226981,2011/11/22 19:19:24
1,960,2847214026987,2011/11/22 19:19:25
1,960,2847213826984,2011/11/22 19:19:26
1,960,2847213626980,2011/11/22 19:19:27
1,960,2846914026945,2011/11/22 19:19:30
1,960,2846914027591,2011/11/22 19:19:31
1,960,2846914026990,2011/11/22 19:19:32
1,960,2846914026990,2011/11/22 19:19:33
1,960,2846914027584,2011/11/22 19:19:34
1,960,2846913626948,2011/11/22 19:19:35
1,960,2752914225496,2011/11/22 19:19:36
1,960,2793713524236,2011/11/22 19:19:37
1,960,2793713524236,2011/11/22 19:19:40
1,960,2793714024230,2011/11/22 19:19:41
1,960,2793714224234,2011/11/22 19:19:42
1,960,2793713924234,2011/11/22 19:19:49
1,960,2793713924234,2011/11/22 19:19:50
1,960,2793713624233,2011/11/22 19:19:51
1,960,2793714024230,2011/11/22 19:19:52
1,960,2793713624233,2011/11/22 19:19:54
1,960,2793714024230,2011/11/22 19:19:55
1,960,2793713724230,2011/11/22 19:19:56
1,960,2976152654270,2011/11/22 19:19:59
1,960,2976152254272,2011/11/22 19:20:00
1,960,2976152054278,2011/11/22 19:20:01
1,960,2976152354279,2011/11/22 19:20:02
1,960,2976152454276,2011/11/22 19:20:03
1,960,2912058253742,2011/11/22 19:20:05
1,960,2912058053748,2011/11/22 19:20:06
1,960,2912058453746,2011/11/22 19:20:07
1,960,2912058253742,2011/11/22 19:20:08
1,960,2911958308538,2011/11/22 19:20:09
1,960,2911958208531,2011/11/22 19:20:10
1,960,2911958408535,2011/11/22 19:20:11
1,960,2911958208531,2011/11/22 19:20:12
1,960,2911958208531,2011/11/22 19:20:13
1,960,2911958408535,2011/11/22 19:20:13
1,960,2912458226551,2011/11/22 19:20:16
1,960,2912458026557,2011/11/22 19:20:16
1,960,2912458226551,2011/11/22 19:20:17
1,960,2912457826554,2011/11/22 19:20:18
1,960,2912458026557,2011/11/22 19:20:18
1,960,2912458426555,2011/11/22 19:20:22
1,960,2976052354263,2011/11/22 19:20:33
1,960,2976052054262,2011/11/22 19:20:35
1,960,8717897510339,2011/11/22 19:20:36
1,960,2976052554267,2011/11/22 19:20:37
1,960,2976051854269,2011/11/22 19:20:38
1,960,2976052254266,2011/11/22 19:20:39
1,960,2912158253772,2011/11/22 19:20:41
1,960,2912158053778,2011/11/22 19:20:42
1,960,2911858053767,2011/11/22 19:20:44
1,960,2912558453758,2011/11/22 19:20:45
1,960,2912558653752,2011/11/22 19:20:46
1,960,2912558053750,2011/11/22 19:20:47
1,960,2976451854289,2011/11/22 19:20:54
1,960,2976452454280,2011/11/22 19:20:56
1,960,2976452254286,2011/11/22 19:20:57
1,960,2976251854243,2011/11/22 19:20:59
1,960,2976251754246,2011/11/22 19:21:00
1,960,2976252354247,2011/11/22 19:21:00
1,960,2976252054246,2011/11/22 19:21:01
1,960,2976252254240,2011/11/22 19:21:02
1,960,2976252654248,2011/11/22 19:21:05
