Device,Branch,Location,PLU,Timestamp
HH010001,1,623,4033918311087,19/07/11 19:02
HH010002,1,623,4033918311087,19/07/11 19:02
HH010003,1,623,4050267613099,19/07/11 19:02
HH010004,1,623,4033918311087,19/07/11 19:03
HH010005,1,623,4050267613099,19/07/11 19:03
HH010006,1,623,4050267613099,19/07/11 19:03
HH010007,1,623,4050267613099,19/07/11 19:03
HH010008,1,623,4050267613099,19/07/11 19:03
HH010009,1,623,4050267613099,19/07/11 19:03
HH010010,1,623,4033918311049,19/07/11 19:03
HH010011,1,623,4033918311032,19/07/11 19:03
HH010012,1,623,4049855063224,19/07/11 19:03
HH010013,1,623,4049424745544,19/07/11 19:03
HH010014,1,623,4049855063224,19/07/11 19:03
HH010015,1,619,4050947052095,19/07/11 19:05
HH010016,1,619,4050947052095,19/07/11 19:06
HH010017,1,619,4050947052095,19/07/11 19:06
HH010018,1,619,4050947052095,19/07/11 19:06
HH010019,1,619,4050947052095,19/07/11 19:06
HH010020,1,619,4050947052095,19/07/11 19:06
HH010021,1,619,4050947052088,19/07/11 19:06
HH010022,1,619,4050947052088,19/07/11 19:06
HH010023,1,619,4050947052101,19/07/11 19:06
HH010024,1,619,4050947052071,19/07/11 19:06
HH010025,1,619,4050947052071,19/07/11 19:06
HH010026,1,619,4050947052071,19/07/11 19:07
HH010027,1,619,4050947052118,19/07/11 19:07
HH010028,1,619,4050947052118,19/07/11 19:07
HH010029,1,619,4050947052118,19/07/11 19:07
HH010030,1,619,4050947052125,19/07/11 19:07
HH010031,1,615,4050946794200,19/07/11 19:08
HH010032,1,615,4050946794200,19/07/11 19:08
HH010033,1,615,4050947053092,19/07/11 19:08
HH010034,1,615,4050947053085,19/07/11 19:08
HH010035,1,615,4050947053092,19/07/11 19:08
HH010036,1,617,4050267723781,19/07/11 19:09
HH010037,1,617,4050267723743,19/07/11 19:09
HH010038,1,617,4050267723743,19/07/11 19:09
HH010039,1,617,4050267723774,19/07/11 19:09
HH010040,1,617,4050267723774,19/07/11 19:09
HH010041,1,617,4050267723750,19/07/11 19:09
HH010042,1,617,4050267723767,19/07/11 19:09
HH010043,1,617,4050267723767,19/07/11 19:09
HH010044,1,617,4050267723767,19/07/11 19:09
