Device,Branch,Location,PLU,Timestamp
HH030098,1,255,884797971162,19/07/2011 09:39
HH030048,1,187,883945009853,19/07/2011 10:10
HH030163,1,405,883945089688,19/07/2011 10:17
HH030164,1,405,883945061783,19/07/2011 10:17
HH030175,1,944,883945130304,19/07/2011 10:19
HH030311,1,213,732075939304,19/07/2011 10:33
HH030095,1,230,032546491523,19/07/2011 10:45
HH030096,1,230,032546491530,19/07/2011 10:45
HH030097,1,230,032546491523,19/07/2011 10:45
HH030098,1,230,032546491547,19/07/2011 10:45
HH030099,1,230,032546478616,19/07/2011 10:45
HH030100,1,230,032546478630,19/07/2011 10:45
HH030101,1,230,886668546421,19/07/2011 10:45
HH030141,1,237,883575777788,19/07/2011 10:46
HH030142,1,237,883575777788,19/07/2011 10:46
HH030143,1,237,885270722919,19/07/2011 10:46
HH030163,1,244,538200134545,19/07/2011 10:47
HH030217,1,382,220222859638,19/07/2011 10:53
HH030031,1,273,405094885787,19/07/2011 11:18
HH030280,1,378,501015868141,19/07/2011 11:40
HH030437,1,375,281597863075,19/07/2011 11:54
HH020535,1,461,506020555982,19/07/2011 11:47
HH020536,1,461,506020555982,19/07/2011 11:47
HH010021,1,874,506004590267,19/07/2011 10:34
HH010022,1,874,506004590267,19/07/2011 10:35
HH010023,1,874,506004590266,19/07/2011 10:35
HH010024,1,874,506004590266,19/07/2011 10:35
HH010025,1,874,506004590266,19/07/2011 10:35
HH010026,1,874,506004590265,19/07/2011 10:35
HH010048,1,872,506004590145,19/07/2011 10:40
HH010049,1,872,506004590145,19/07/2011 10:40
HH010047,1,900,884565428604,19/07/2011 11:53
HH010049,1,900,884565428604,19/07/2011 11:53
HH010051,1,900,884565428604,19/07/2011 11:54
HH010071,1,907,286840260036,19/07/2011 12:26
HH010074,1,907,286840260036,19/07/2011 12:27
HH010075,1,907,286840260036,19/07/2011 12:27
HH010076,1,907,286840260036,19/07/2011 12:27
HH010136,1,905,747642747192,19/07/2011 12:39
HH030041,1,344,730751356223,19/07/2011 12:07
