Device,Branch,Location,PLU,Timestamp
HH020001,1,444,5060205554673,19/07/11 10:45
HH020002,1,444,5060205554666,19/07/11 10:45
HH020003,1,444,5060205554666,19/07/11 10:45
HH020004,1,444,5060205554680,19/07/11 10:45
HH020005,1,444,5060205554680,19/07/11 10:45
HH020006,1,444,5060205554680,19/07/11 10:45
HH020007,1,444,5060205554680,19/07/11 10:45
HH020008,1,444,5060205554680,19/07/11 10:45
HH020009,1,444,5060205554680,19/07/11 10:45
HH020010,1,444,5060205554697,19/07/11 10:45
HH020011,1,445,5060205558244,19/07/11 10:46
HH020012,1,445,5060205558244,19/07/11 10:46
HH020013,1,445,5060205558244,19/07/11 10:46
HH020014,1,445,5060205558251,19/07/11 10:46
HH020015,1,445,5060205558251,19/07/11 10:46
HH020016,1,445,5060205558251,19/07/11 10:46
HH020017,1,445,5060205558251,19/07/11 10:46
HH020018,1,445,5060205558251,19/07/11 10:47
HH020019,1,445,5060205558251,19/07/11 10:47
HH020020,1,445,5060205558251,19/07/11 10:47
HH020021,1,445,5060205558275,19/07/11 10:47
HH020022,1,445,5060205558268,19/07/11 10:47
HH020023,1,445,5060205558268,19/07/11 10:47
HH020024,1,445,5060205558268,19/07/11 10:47
HH020025,1,445,5060205558268,19/07/11 10:47
HH020026,1,445,5060205558268,19/07/11 10:47
HH020027,1,445,5060205558268,19/07/11 10:47
HH020028,1,445,5060205558275,19/07/11 10:47
HH020029,1,445,5060205558237,19/07/11 10:47
HH020030,1,445,5060205558237,19/07/11 10:47
HH020031,1,445,5060205555588,19/07/11 10:47
HH020032,1,445,5060205555588,19/07/11 10:47
HH020033,1,445,5060205555588,19/07/11 10:47
HH020034,1,445,5060205555588,19/07/11 10:47
HH020035,1,445,5060205555588,19/07/11 10:48
HH020036,1,445,5060205555588,19/07/11 10:48
HH020037,1,445,5060205555564,19/07/11 10:48
HH020038,1,445,5060205555588,19/07/11 10:48
HH020039,1,445,5060205555571,19/07/11 10:48
HH020040,1,445,5060205555571,19/07/11 10:48
HH020041,1,445,5060205555571,19/07/11 10:48
HH020042,1,445,5060205555571,19/07/11 10:48
HH020043,1,445,5060205555571,19/07/11 10:48
HH020044,1,445,5060205555571,19/07/11 10:48
HH020045,1,445,5060205555571,19/07/11 10:48
HH020046,1,446,5060205555526,19/07/11 10:49
HH020047,1,446,5060205555540,19/07/11 10:49
HH020048,1,446,5060205555526,19/07/11 10:49
