Branch,Location,PLU,Timestamp
1,960,732075942397,2011/11/22 19:19:07
1,960,732075942397,2011/11/22 19:19:08
1,960,732075942373,2011/11/22 19:19:09
1,960,732075942434,2011/11/22 19:19:10
1,960,732075942410,2011/11/22 19:19:11
1,960,732075942458,2011/11/22 19:19:12
1,960,732075942410,2011/11/22 19:19:13
1,960,732075942410,2011/11/22 19:19:14
1,960,732075942434,2011/11/22 19:19:15
1,960,617931849488,2011/11/22 19:19:19
1,960,617931849488,2011/11/22 19:19:19
1,960,617931849594,2011/11/22 19:19:20
1,960,617931849594,2011/11/22 19:19:21
1,960,617931849617,2011/11/22 19:19:23
1,960,617931849594,2011/11/22 19:19:25
1,960,617931849679,2011/11/22 19:19:26
1,960,617931849488,2011/11/22 19:19:27
1,960,617931849617,2011/11/22 19:19:28
1,960,617931849464,2011/11/22 19:19:29
1,960,773040606241,2011/11/22 19:19:31
1,960,773040606265,2011/11/22 19:19:33
1,960,773040606302,2011/11/22 19:19:34
1,960,773040606265,2011/11/22 19:19:35
1,960,773040606302,2011/11/22 19:19:36
1,960,773040870482,2011/11/22 19:19:40
1,960,773040870505,2011/11/22 19:19:41
1,960,773040870468,2011/11/22 19:19:42
1,960,773040870505,2011/11/22 19:19:43
1,960,773040870529,2011/11/22 19:19:44
1,960,773040870529,2011/11/22 19:19:45
1,960,098771582283,2011/11/22 19:19:46
1,960,773040878891,2011/11/22 19:20:02
1,960,773040870505,2011/11/22 19:20:03
1,960,773040870505,2011/11/22 19:20:20
1,960,773040870505,2011/11/22 19:20:22
1,960,098771582283,2011/11/22 19:20:24
1,960,773040870482,2011/11/22 19:20:25
1,960,773040870529,2011/11/22 19:20:26
1,960,098771582283,2011/11/22 19:20:28
1,960,773040878877,2011/11/22 19:20:29
1,960,773040876040,2011/11/22 19:20:30
1,960,773040879614,2011/11/22 19:20:31
1,960,773040879614,2011/11/22 19:20:33
1,960,098775556983,2011/11/22 19:20:35
1,960,773040876064,2011/11/22 19:20:37
1,960,098775557065,2011/11/22 19:20:40
1,960,773040876064,2011/11/22 19:20:42
1,960,098775557188,2011/11/22 19:20:43
1,960,098775556983,2011/11/22 19:20:49
1,960,098775557027,2011/11/22 19:20:50
1,960,098775557201,2011/11/22 19:20:51
1,960,098775557201,2011/11/22 19:20:52
1,960,098775557201,2011/11/22 19:20:54
1,960,738575692961,2011/11/22 19:20:56
1,960,738575692985,2011/11/22 19:20:58
1,960,738575693005,2011/11/22 19:20:59
1,960,738575693005,2011/11/22 19:21:00
1,960,738575693005,2011/11/22 19:21:02
1,960,773040876040,2011/11/22 19:21:03
1,960,773040878914,2011/11/22 19:21:04
1,960,098775557201,2011/11/22 19:21:05
1,960,773040879591,2011/11/22 19:21:06
1,960,738575692985,2011/11/22 19:21:09
1,960,738575692985,2011/11/22 19:21:10
1,960,738575692985,2011/11/22 19:21:11
1,960,773040870505,2011/11/22 19:21:15
1,960,773040870505,2011/11/22 19:21:17
1,960,098775556983,2011/11/22 19:21:20
1,960,773040876064,2011/11/22 19:21:21
1,960,098775557225,2011/11/22 19:21:21
1,960,773040947184,2011/11/22 19:21:22
1,960,098775557201,2011/11/22 19:21:23
1,960,098775557225,2011/11/22 19:21:25
1,960,773040879614,2011/11/22 19:21:27
1,960,098771582269,2011/11/22 19:21:28
1,960,738575693005,2011/11/22 19:21:30
1,960,738575693029,2011/11/22 19:21:31
1,960,738575693005,2011/11/22 19:21:32
1,960,738575693029,2011/11/22 19:21:33
1,960,773040878891,2011/11/22 19:21:34
1,960,773040876088,2011/11/22 19:21:35
1,960,098775557188,2011/11/22 19:21:36
1,960,648335592106,2011/11/22 19:21:43
1,960,648335592083,2011/11/22 19:21:44
1,960,648335592083,2011/11/22 19:21:45
