Device,Branch,Location,PLU,Timestamp
HH010001,1,891,9420028805042,19/07/11 11:47
HH010002,1,891,9420028805097,19/07/11 11:47
HH010003,1,891,9420028805073,19/07/11 11:47
HH010004,1,891,9420028803970,19/07/11 11:47
HH010005,1,891,9420028803994,19/07/11 11:47
HH010006,1,891,9420028805066,19/07/11 11:47
HH010007,1,891,9420028805080,19/07/11 11:47
HH010008,1,891,9420028805073,19/07/11 11:48
HH010009,1,891,9420028805073,19/07/11 11:48
HH010010,1,891,2824602700360,19/07/11 11:48
HH010011,1,891,2825002500369,19/07/11 11:48
HH010012,1,891,9420028803970,19/07/11 11:48
HH010013,1,891,9420028804007,19/07/11 11:48
HH010014,1,891,9420035409325,19/07/11 11:48
HH010015,1,891,9420035409325,19/07/11 11:48
HH010016,1,891,9420035409325,19/07/11 11:48
HH010017,1,891,9420035409325,19/07/11 11:49
HH010018,1,891,9420035416774,19/07/11 11:49
HH010019,1,900,884565915258,19/07/11 11:50
HH010020,1,900,884565915302,19/07/11 11:50
HH010021,1,900,884565915258,19/07/11 11:50
HH010022,1,900,884565915302,19/07/11 11:50
HH010023,1,900,884565915302,19/07/11 11:50
HH010024,1,900,884565915258,19/07/11 11:50
HH010025,1,900,884565915265,19/07/11 11:51
HH010026,1,900,884565915333,19/07/11 11:51
HH010027,1,900,884565915302,19/07/11 11:51
HH010028,1,900,884565915302,19/07/11 11:51
HH010029,1,900,884565915265,19/07/11 11:51
HH010030,1,900,884565915265,19/07/11 11:51
HH010031,1,900,884565915319,19/07/11 11:51
HH010032,1,900,884565915296,19/07/11 11:51
HH010033,1,900,884565915302,19/07/11 11:51
HH010034,1,900,884565915319,19/07/11 11:52
HH010035,1,900,884565915302,19/07/11 11:52
HH010036,1,900,884565915296,19/07/11 11:52
HH010037,1,900,884565915296,19/07/11 11:52
HH010038,1,900,884565915302,19/07/11 11:52
HH010039,1,900,884565915302,19/07/11 11:52
HH010040,1,900,884565428949,19/07/11 11:52
HH010041,1,900,884565428956,19/07/11 11:52
HH010042,1,900,2846402400363,19/07/11 11:53
HH010043,1,900,884565428628,19/07/11 11:53
HH010044,1,900,884565428956,19/07/11 11:53
HH010045,1,900,884565428956,19/07/11 11:53
HH010046,1,900,884565428581,19/07/11 11:53
HH010047,1,900,884565428604,19/07/11 11:53
HH010048,1,900,884565428628,19/07/11 11:53
HH010049,1,900,884565428604,19/07/11 11:53
HH010050,1,900,884565428581,19/07/11 11:54
HH010051,1,900,884565428604,19/07/11 11:54
HH010052,1,899,884565428802,19/07/11 11:54
HH010053,1,899,884565428796,19/07/11 11:54
HH010054,1,899,884565428802,19/07/11 11:54
HH010055,1,899,884565428796,19/07/11 11:54
HH010056,1,899,884565428796,19/07/11 11:55
HH010057,1,899,884565428796,19/07/11 11:55
HH010058,1,899,884565428826,19/07/11 11:55
HH010059,1,899,884565428796,19/07/11 11:55
HH010060,1,899,884565428802,19/07/11 11:55
HH010061,1,899,884565428789,19/07/11 11:55
HH010062,1,899,884565428802,19/07/11 11:55
HH010063,1,899,884565428796,19/07/11 11:55
HH010064,1,899,884565428802,19/07/11 11:55
HH010065,1,899,884565915203,19/07/11 11:55
HH010066,1,899,884565915197,19/07/11 11:55
HH010067,1,899,884565915203,19/07/11 11:56
HH010068,1,899,884565428758,19/07/11 11:56
HH010069,1,899,884565428734,19/07/11 11:56
HH010070,1,899,884565428772,19/07/11 11:56
HH010071,1,899,884565428772,19/07/11 11:56
HH010072,1,899,884565428772,19/07/11 11:56
HH010073,1,899,884565915210,19/07/11 11:56
HH010074,1,898,714642745754,19/07/11 11:57
HH010075,1,898,714642745754,19/07/11 11:58
HH010076,1,898,714642745754,19/07/11 11:58
HH010077,1,898,714642745754,19/07/11 11:58
HH010078,1,898,714642745754,19/07/11 11:58
HH010079,1,898,714642745754,19/07/11 11:58
HH010080,1,898,714642745754,19/07/11 11:58
HH010081,1,898,714642745754,19/07/11 11:58
HH010082,1,898,714642745761,19/07/11 11:58
HH010083,1,898,714642745754,19/07/11 11:59
HH010084,1,898,714642745754,19/07/11 11:59
HH010085,1,898,714642745747,19/07/11 11:59
HH010086,1,898,714642745747,19/07/11 11:59
HH010087,1,898,714642745747,19/07/11 11:59
HH010088,1,898,714642745747,19/07/11 11:59
HH010089,1,898,714642745747,19/07/11 11:59
HH010090,1,898,714642745747,19/07/11 11:59
HH010091,1,898,714642745747,19/07/11 11:59
HH010092,1,898,714642745747,19/07/11 12:00
HH010093,1,898,714642745747,19/07/11 12:00
HH010094,1,898,714642745747,19/07/11 12:00
HH010095,1,898,714642745754,19/07/11 12:00
HH010096,1,898,714642745761,19/07/11 12:00
HH010097,1,898,714642745761,19/07/11 12:00
HH010098,1,898,714642745778,19/07/11 12:00
HH010099,1,898,714642745761,19/07/11 12:00
HH010100,1,898,714642745761,19/07/11 12:00
HH010101,1,898,714642743903,19/07/11 12:01
HH010102,1,898,714642743903,19/07/11 12:01
HH010103,1,898,714642743897,19/07/11 12:01
HH010104,1,898,714642743903,19/07/11 12:01
HH010105,1,898,714642743903,19/07/11 12:01
HH010106,1,898,714642743910,19/07/11 12:01
HH010107,1,898,714642743910,19/07/11 12:01
HH010108,1,898,714642745730,19/07/11 12:01
HH010109,1,898,714642743903,19/07/11 12:01
HH010110,1,898,714642743897,19/07/11 12:02
HH010111,1,898,714642743897,19/07/11 12:02
HH010112,1,897,714642746461,19/07/11 12:02
HH010113,1,897,714642746478,19/07/11 12:02
HH010114,1,897,714642746461,19/07/11 12:03
HH010115,1,897,714642746461,19/07/11 12:03
HH010116,1,897,714642746447,19/07/11 12:03
HH010117,1,897,714642746447,19/07/11 12:03
HH010118,1,897,714642746447,19/07/11 12:03
HH010119,1,897,714642746447,19/07/11 12:03
HH010120,1,897,714642746416,19/07/11 12:03
HH010121,1,897,714642746379,19/07/11 12:03
HH010122,1,897,714642746409,19/07/11 12:04
HH010123,1,897,714642746393,19/07/11 12:04
HH010124,1,897,714642746379,19/07/11 12:04
HH010125,1,897,714642746379,19/07/11 12:04
HH010126,1,897,714642746393,19/07/11 12:04
HH010127,1,897,714642746393,19/07/11 12:04
HH010128,1,897,714642746409,19/07/11 12:04
HH010129,1,897,714642746393,19/07/11 12:04
HH010130,1,897,714642746386,19/07/11 12:04
HH010131,1,897,714642746386,19/07/11 12:05
HH010132,1,897,714642746386,19/07/11 12:05
HH010133,1,897,714642746393,19/07/11 12:05
HH010134,1,897,714642746386,19/07/11 12:05
HH010135,1,897,714642746386,19/07/11 12:05
HH010136,1,897,714642746386,19/07/11 12:05
HH010137,1,896,714642745051,19/07/11 12:06
HH010138,1,896,714642745068,19/07/11 12:06
HH010139,1,896,714642745068,19/07/11 12:06
HH010140,1,896,714642745051,19/07/11 12:06
HH010141,1,896,714642745068,19/07/11 12:06
HH010142,1,896,714642745068,19/07/11 12:06
HH010143,1,896,714642745051,19/07/11 12:06
HH010144,1,896,714642745075,19/07/11 12:06
HH010145,1,896,714642745044,19/07/11 12:07
HH010146,1,896,714642745075,19/07/11 12:07
HH010147,1,896,714642745075,19/07/11 12:07
HH010148,1,896,714642747307,19/07/11 12:07
HH010149,1,896,714642747307,19/07/11 12:07
HH010150,1,896,714642747307,19/07/11 12:07
HH010151,1,896,714642747307,19/07/11 12:07
HH010152,1,896,714642747307,19/07/11 12:07
HH010153,1,896,714642747307,19/07/11 12:07
HH010154,1,896,714642747291,19/07/11 12:07
HH010155,1,896,714642747291,19/07/11 12:07
HH010156,1,896,714642747291,19/07/11 12:07
HH010157,1,896,714642747291,19/07/11 12:08
HH010158,1,896,714642747291,19/07/11 12:08
HH010159,1,895,714642745518,19/07/11 12:08
HH010160,1,895,714642745532,19/07/11 12:09
HH010161,1,895,714642745501,19/07/11 12:09
HH010162,1,895,714642745518,19/07/11 12:09
HH010163,1,895,714642745518,19/07/11 12:09
