Device,Branch,Location,PLU,Timestamp
MAN001,1,576,5060242310287,2011/07/19 09:15:00
MAN002,1,871,276410300036X,2011/07/19 09:35:00
MAN003,1,871,276410300001X,2011/07/19 09:55:00
