Device,Branch,Location,PLU,Timestamp
HH010001,1,625,098775629823,19/07/11 18:22
HH010002,1,625,098775629823,19/07/11 18:22
HH010003,1,625,098775629823,19/07/11 18:22
HH010004,1,625,098775629823,19/07/11 18:22
HH010005,1,625,098775629823,19/07/11 18:22
HH010006,1,625,098775629823,19/07/11 18:22
HH010007,1,625,098775629823,19/07/11 18:22
HH010008,1,625,098775629823,19/07/11 18:22
HH010009,1,625,098775629823,19/07/11 18:22
HH010010,1,625,098775629823,19/07/11 18:22
HH010011,1,625,098775629823,19/07/11 18:22
HH010012,1,625,098775629823,19/07/11 18:22
HH010013,1,625,098775629823,19/07/11 18:22
HH010014,1,625,098775629823,19/07/11 18:23
HH010015,1,625,098775629823,19/07/11 18:23
HH010016,1,625,098775629823,19/07/11 18:23
HH010017,1,625,098775629823,19/07/11 18:23
HH010018,1,625,098775629823,19/07/11 18:23
HH010019,1,625,098775629823,19/07/11 18:23
HH010020,1,625,098775629823,19/07/11 18:23
HH010021,1,625,098775629823,19/07/11 18:23
HH010022,1,625,098775629823,19/07/11 18:23
HH010023,1,625,098775629823,19/07/11 18:23
HH010024,1,625,098775629823,19/07/11 18:23
HH010025,1,625,098775629823,19/07/11 18:24
HH010026,1,625,098775629823,19/07/11 18:24
HH010027,1,625,098775629823,19/07/11 18:24
HH010028,1,625,098775629823,19/07/11 18:24
HH010029,1,625,098775629823,19/07/11 18:24
HH010030,1,625,098775629823,19/07/11 18:24
HH010031,1,625,098775629823,19/07/11 18:24
HH010032,1,625,098775629823,19/07/11 18:24
HH010033,1,625,098775629823,19/07/11 18:24
HH010034,1,625,098775629823,19/07/11 18:24
HH010035,1,625,098775629823,19/07/11 18:24
HH010036,1,625,098775629823,19/07/11 18:25
HH010037,1,625,098775629823,19/07/11 18:25
HH010038,1,625,098775629823,19/07/11 18:26
HH010039,1,625,098775629823,19/07/11 18:26
HH010040,1,625,098775629823,19/07/11 18:26
HH010041,1,625,098775629823,19/07/11 18:26
HH010042,1,625,098775629823,19/07/11 18:26
HH010043,1,625,098775629823,19/07/11 18:27
HH010044,1,625,098775629823,19/07/11 18:27
HH010045,1,625,098775629823,19/07/11 18:27
HH010046,1,625,098775629823,19/07/11 18:28
HH010047,1,625,098775629823,19/07/11 18:28
HH010048,1,625,098775629823,19/07/11 18:29
HH010049,1,625,098775629823,19/07/11 18:29
HH010050,1,625,098775629823,19/07/11 18:29
HH010051,1,625,098775629823,19/07/11 18:29
HH010052,1,625,098775629823,19/07/11 18:29
HH010053,1,625,098775629823,19/07/11 18:29
HH010054,1,625,098775629823,19/07/11 18:29
HH010055,1,625,098775629823,19/07/11 18:29
HH010056,1,625,098775629823,19/07/11 18:30
HH010057,1,625,098775629823,19/07/11 18:30
HH010058,1,625,098775629823,19/07/11 18:30
HH010059,1,625,098775629823,19/07/11 18:30
HH010060,1,665,098775629861,19/07/11 18:31
HH010061,1,665,098775629861,19/07/11 18:31
HH010062,1,665,098775629861,19/07/11 18:31
HH010063,1,665,098775629861,19/07/11 18:31
HH010064,1,665,098775629861,19/07/11 18:31
HH010065,1,665,098775629861,19/07/11 18:31
HH010066,1,624,098775629786,19/07/11 18:34
HH010067,1,624,098775629786,19/07/11 18:34
HH010068,1,624,098775629786,19/07/11 18:34
HH010069,1,624,098775629786,19/07/11 18:34
HH010070,1,624,098775629786,19/07/11 18:34
HH010071,1,624,098775629786,19/07/11 18:34
HH010072,1,624,098775629786,19/07/11 18:34
HH010073,1,624,098775629786,19/07/11 18:34
HH010074,1,624,098775629786,19/07/11 18:34
HH010075,1,624,098775629786,19/07/11 18:34
HH010076,1,624,098775629786,19/07/11 18:35
HH010077,1,624,098775629786,19/07/11 18:35
HH010078,1,624,098775629786,19/07/11 18:35
HH010079,1,624,098775629786,19/07/11 18:35
HH010080,1,624,098775629786,19/07/11 18:35
HH010081,1,624,098775629786,19/07/11 18:35
HH010082,1,624,098775629786,19/07/11 18:35
HH010083,1,624,098775629786,19/07/11 18:35
HH010084,1,624,098775629786,19/07/11 18:35
HH010085,1,624,098775629786,19/07/11 18:36
HH010086,1,665,098775629861,19/07/11 18:37
HH010087,1,624,098775629786,19/07/11 18:39
