Branch,Location,PLU,Timestamp
1,960,7630001323001,2011/11/22 19:03:15
1,960,7630001322998,2011/11/22 19:03:18
1,960,7630001322998,2011/11/22 19:03:20
1,960,7630001322998,2011/11/22 19:03:23
1,960,7630001322998,2011/11/22 19:03:25
1,960,7630001323001,2011/11/22 19:03:28
1,960,7630001323001,2011/11/22 19:03:30
1,960,7630001323001,2011/11/22 19:03:32
1,960,7630001323001,2011/11/22 19:03:34
1,960,7630001323001,2011/11/22 19:03:34
1,960,7630001323001,2011/11/22 19:03:40
1,960,7630001323001,2011/11/22 19:03:42
1,960,7630001323001,2011/11/22 19:03:45
1,960,7630001323001,2011/11/22 19:03:46
1,960,7630001347144,2011/11/22 19:03:51
1,960,7630001323001,2011/11/22 19:03:54
1,960,7630001323001,2011/11/22 19:03:56
1,960,7630001323001,2011/11/22 19:03:58
1,960,7630001322998,2011/11/22 19:03:59
1,960,7630001347113,2011/11/22 19:04:01
1,960,7630001354012,2011/11/22 19:04:04
1,960,7630001354012,2011/11/22 19:04:06
1,960,7630001354036,2011/11/22 19:04:10
1,960,7630001347106,2011/11/22 19:04:13
1,960,7630001325678,2011/11/22 19:04:15
1,960,7630001322974,2011/11/22 19:04:20
1,960,7630001322974,2011/11/22 19:04:21
1,960,7630001322974,2011/11/22 19:04:22
1,960,7630001347120,2011/11/22 19:04:23
1,960,7630001347137,2011/11/22 19:04:25
1,960,7630001336308,2011/11/22 19:04:31
1,960,7630001335790,2011/11/22 19:04:32
1,960,7630001332119,2011/11/22 19:04:34
1,960,7630001322967,2011/11/22 19:04:35
1,960,7630001322981,2011/11/22 19:04:36
1,960,7630001351448,2011/11/22 19:04:51
1,960,7630001351455,2011/11/22 19:04:52
1,960,7630001354036,2011/11/22 19:04:53
1,960,7630001354012,2011/11/22 19:04:54
1,960,7630001354029,2011/11/22 19:04:55
1,960,7630001306837,2011/11/22 19:05:12
1,960,7630001306738,2011/11/22 19:05:14
1,960,7630001306820,2011/11/22 19:05:15
1,960,7630001306738,2011/11/22 19:05:40
1,960,7630001332492,2011/11/22 19:05:55
1,960,7630001339606,2011/11/22 19:05:57
1,960,7630001314283,2011/11/22 19:05:59
1,960,7630001353985,2011/11/22 19:06:00
1,960,7630001322974,2011/11/22 19:06:01
1,960,7630001323018,2011/11/22 19:06:07
