Device,Branch,Location,PLU,Timestamp
HH010001,1,875,5060045900876,19/07/11 10:27
HH010002,1,875,5060045900876,19/07/11 10:30
HH010003,1,875,5060045901279,19/07/11 10:30
HH010004,1,875,5060045903273,19/07/11 10:31
HH010005,1,875,5060045903273,19/07/11 10:31
HH010006,1,875,5060045903266,19/07/11 10:31
HH010007,1,875,5060045903266,19/07/11 10:31
HH010008,1,875,5060045903259,19/07/11 10:31
HH010009,1,875,5060045901422,19/07/11 10:32
HH010010,1,875,5060045901422,19/07/11 10:32
HH010011,1,874,5060045900876,19/07/11 10:34
HH010012,1,874,5060045900876,19/07/11 10:34
HH010013,1,874,5060045900876,19/07/11 10:34
HH010014,1,874,5060045900876,19/07/11 10:34
HH010015,1,874,5060045900876,19/07/11 10:34
HH010016,1,874,5060045903617,19/07/11 10:34
HH010017,1,874,5060045903617,19/07/11 10:34
HH010018,1,874,5060045903617,19/07/11 10:34
HH010019,1,874,5060045903617,19/07/11 10:34
HH010020,1,874,5060045903617,19/07/11 10:34
HH010021,1,874,5060045902672,19/07/11 10:34
HH010022,1,874,5060045902672,19/07/11 10:35
HH010023,1,874,5060045902665,19/07/11 10:35
HH010024,1,874,5060045902665,19/07/11 10:35
HH010025,1,874,5060045902665,19/07/11 10:35
HH010026,1,874,5060045902658,19/07/11 10:35
HH010027,1,873,5060045902832,19/07/11 10:35
HH010028,1,873,5060045901255,19/07/11 10:35
HH010029,1,873,5060045901255,19/07/11 10:35
HH010030,1,873,5060045901255,19/07/11 10:36
HH010031,1,873,5060045901255,19/07/11 10:36
HH010032,1,873,5060045900951,19/07/11 10:36
HH010033,1,873,5060045900968,19/07/11 10:36
HH010034,1,873,5060045900968,19/07/11 10:36
HH010035,1,873,5060045900968,19/07/11 10:36
HH010036,1,873,5060045903815,19/07/11 10:36
HH010037,1,873,5060045903815,19/07/11 10:36
HH010038,1,873,5060045903822,19/07/11 10:37
HH010039,1,873,5060045903822,19/07/11 10:37
HH010040,1,873,5060045902931,19/07/11 10:37
HH010041,1,873,5060045900180,19/07/11 10:37
HH010042,1,873,5060045900180,19/07/11 10:37
HH010043,1,873,5060045900425,19/07/11 10:37
HH010044,1,873,5060045900425,19/07/11 10:37
HH010045,1,872,5060045901552,19/07/11 10:38
HH010046,1,872,5060045901569,19/07/11 10:38
HH010047,1,873,5060045901255,19/07/11 10:39
HH010048,1,872,5060045901453,19/07/11 10:40
HH010049,1,872,5060045901453,19/07/11 10:40
HH010050,1,872,5060045901446,19/07/11 10:41
HH010051,1,872,5060045901446,19/07/11 10:41
HH010052,1,872,5060045900937,19/07/11 10:42
HH010053,1,872,5060045900937,19/07/11 10:42
HH010054,1,872,5060045900937,19/07/11 10:42
HH010055,1,872,5060045900937,19/07/11 10:42
HH010056,1,872,5060045900937,19/07/11 10:42
HH010057,1,872,5060045900937,19/07/11 10:42
HH010058,1,872,5060045900937,19/07/11 10:42
HH010059,1,872,5060045900920,19/07/11 10:42
HH010060,1,872,5060045900920,19/07/11 10:42
HH010061,1,872,5060045900913,19/07/11 10:43
HH010062,1,872,5060045900913,19/07/11 10:43
HH010063,1,872,5060045903310,19/07/11 10:43
HH010064,1,872,5060045903310,19/07/11 10:43
HH010065,1,872,5060045903310,19/07/11 10:43
HH010066,1,872,5060045903310,19/07/11 10:43
HH010067,1,872,5060045903310,19/07/11 10:43
HH010068,1,872,5060045900395,19/07/11 10:44
HH010069,1,872,5060045900395,19/07/11 10:44
HH010070,1,872,5060045900395,19/07/11 10:44
HH010071,1,872,5060045902696,19/07/11 10:44
HH010072,1,872,5060045902702,19/07/11 10:44
HH010073,1,872,5060045902702,19/07/11 10:44
HH010074,1,871,5060045903327,19/07/11 10:45
HH010075,1,871,2763803000506,19/07/11 10:45
HH010076,1,871,2763803000506,19/07/11 10:45
HH010077,1,871,2763803001428,19/07/11 10:46
HH010078,1,871,2763803001428,19/07/11 10:46
HH010079,1,871,5060045902856,19/07/11 10:46
HH010080,1,871,5060045902856,19/07/11 10:46
HH010081,1,871,5060045902856,19/07/11 10:46
HH010082,1,871,5060045902849,19/07/11 10:46
HH010083,1,871,5060045902849,19/07/11 10:46
HH010084,1,869,5060045903433,19/07/11 10:47
HH010085,1,869,5060045903433,19/07/11 10:47
HH010086,1,869,883889901985,19/07/11 10:47
HH010087,1,869,883889902029,19/07/11 10:48
HH010088,1,868,5060045903006,19/07/11 10:48
HH010089,1,868,5060045900692,19/07/11 10:48
HH010090,1,868,5060045900692,19/07/11 10:48
HH010091,1,883,749266897732,19/07/11 10:51
HH010092,1,883,749266897749,19/07/11 10:51
