Device,Branch,Location,PLU,Timestamp
HH030001,1,3,885178843754,19/07/11 14:50
HH030002,1,3,885178843754,19/07/11 14:50
HH030003,1,3,885178843747,19/07/11 14:50
HH030004,1,3,885178843747,19/07/11 14:50
HH030005,1,3,885178843747,19/07/11 14:50
HH030006,1,3,885178843747,19/07/11 14:50
HH030007,1,3,885178843761,19/07/11 14:50
HH030008,1,3,885178843730,19/07/11 14:50
HH030009,1,5,884751365126,19/07/11 14:51
HH030010,1,5,884751365102,19/07/11 14:51
HH030011,1,6,640135059735,19/07/11 14:51
HH030012,1,6,640135059735,19/07/11 14:51
HH030013,1,6,640135059735,19/07/11 14:51
HH030014,1,7,2811402500276,19/07/11 14:51
HH030015,1,8,640135161483,19/07/11 14:52
HH030016,1,8,640135161483,19/07/11 14:52
HH030017,1,8,640135161483,19/07/11 14:52
HH030018,1,8,640135161483,19/07/11 14:52
HH030019,1,8,640135161568,19/07/11 14:52
HH030020,1,8,640135161568,19/07/11 14:52
HH030021,1,8,640135161483,19/07/11 14:52
HH030022,1,9,884499101505,19/07/11 14:53
HH030023,1,9,091209779286,19/07/11 14:53
HH030024,1,9,091209776278,19/07/11 14:53
HH030025,1,9,091209776278,19/07/11 14:53
HH030026,1,9,091209776278,19/07/11 14:53
HH030027,1,9,091209776278,19/07/11 14:53
HH030028,1,9,091209776278,19/07/11 14:53
HH030029,1,10,885178571879,19/07/11 14:55
HH030030,1,10,885178571879,19/07/11 14:55
HH030031,1,10,885178571879,19/07/11 14:55
HH030032,1,10,885178571879,19/07/11 14:55
HH030033,1,10,885178571879,19/07/11 14:55
HH030034,1,10,885178571862,19/07/11 14:55
HH030035,1,10,885178571862,19/07/11 14:55
HH030036,1,10,885178571862,19/07/11 14:55
HH030037,1,10,885178571886,19/07/11 14:55
HH030038,1,12,826215539285,19/07/11 14:55
HH030039,1,12,826215539285,19/07/11 14:55
HH030040,1,12,826215539285,19/07/11 14:56
HH030041,1,12,826215539285,19/07/11 14:56
HH030042,1,12,826215539285,19/07/11 14:56
