Device,Branch,Location,PLU,Timestamp
HH010001,1,482,738575847859,19/07/11 14:25
HH010002,1,482,738575908253,19/07/11 14:25
HH010003,1,482,738575847866,19/07/11 14:25
HH010004,1,482,738575847859,19/07/11 14:25
HH010005,1,482,738575847880,19/07/11 14:25
HH010006,1,482,738575847866,19/07/11 14:25
HH010007,1,482,738575847866,19/07/11 14:25
HH010008,1,482,738575847873,19/07/11 14:26
HH010009,1,482,738575847873,19/07/11 14:26
HH010010,1,482,098775629946,19/07/11 14:30
HH010011,1,482,738575908949,19/07/11 14:30
HH010012,1,482,098775629885,19/07/11 14:30
HH010013,1,482,098775629946,19/07/11 14:30
HH010014,1,482,738575885707,19/07/11 14:31
HH010015,1,482,738575885714,19/07/11 14:31
HH010016,1,482,738575909069,19/07/11 14:31
HH010017,1,482,738575848009,19/07/11 14:31
HH010018,1,482,738575848016,19/07/11 14:31
HH010019,1,482,738575848016,19/07/11 14:31
HH010020,1,482,738575908239,19/07/11 14:32
HH010021,1,482,738575848016,19/07/11 14:32
HH010022,1,482,098775629946,19/07/11 14:34
HH010023,1,482,738575885714,19/07/11 14:34
HH010024,1,482,738575885707,19/07/11 14:34
HH010025,1,482,738575909069,19/07/11 14:34
HH010026,1,481,738575848979,19/07/11 14:37
HH010027,1,481,738575908352,19/07/11 14:37
HH010028,1,481,738575848979,19/07/11 14:37
HH010029,1,481,738575848979,19/07/11 14:37
HH010030,1,481,738575848955,19/07/11 14:37
HH010031,1,481,738575848986,19/07/11 14:37
HH010032,1,481,738575848955,19/07/11 14:37
HH010033,1,481,738575848986,19/07/11 14:38
HH010034,1,481,738575847910,19/07/11 14:40
HH010035,1,481,738575847910,19/07/11 14:40
HH010036,1,481,738575883185,19/07/11 14:40
HH010037,1,481,738575847927,19/07/11 14:40
HH010038,1,481,738575847927,19/07/11 14:40
HH010039,1,481,738575847910,19/07/11 14:40
HH010040,1,481,738575847910,19/07/11 14:41
HH010041,1,481,738575847903,19/07/11 14:41
HH010042,1,481,738575847903,19/07/11 14:41
HH010043,1,481,738575847910,19/07/11 14:42
HH010044,1,481,738575908260,19/07/11 14:42
HH010045,1,481,738575847934,19/07/11 14:42
HH010046,1,480,738575861251,19/07/11 14:45
HH010047,1,480,738575861251,19/07/11 14:45
HH010048,1,480,738575861251,19/07/11 14:45
HH010049,1,480,738575861251,19/07/11 14:45
