Device,Branch,Location,PLU,Timestamp
HH030001,1,754,7318571235398,19/07/11 18:46
HH030002,1,754,7318571235398,19/07/11 18:46
HH030003,1,754,7318571235398,19/07/11 18:46
HH030004,1,754,7318571235398,19/07/11 18:47
HH030005,1,754,7318571235398,19/07/11 18:47
HH030006,1,754,7318571235398,19/07/11 18:47
HH030007,1,754,7318571235398,19/07/11 18:47
HH030008,1,754,7318571235398,19/07/11 18:47
HH030009,1,754,2757902700511,19/07/11 18:47
HH030010,1,754,7318571235381,19/07/11 18:47
HH030011,1,754,7318571235381,19/07/11 18:47
HH030012,1,754,7318571235381,19/07/11 18:47
HH030013,1,754,7318571235381,19/07/11 18:47
HH030014,1,754,7318571235381,19/07/11 18:47
HH030015,1,754,7318571235381,19/07/11 18:47
HH030016,1,755,7318571235367,19/07/11 18:48
HH030017,1,755,7318571235367,19/07/11 18:48
HH030018,1,755,7318571235367,19/07/11 18:48
HH030019,1,755,7318571235367,19/07/11 18:48
HH030020,1,755,7318571235367,19/07/11 18:49
HH030021,1,755,7318571235367,19/07/11 18:49
HH030022,1,755,7318571235367,19/07/11 18:49
HH030023,1,755,7318571235367,19/07/11 18:49
HH030024,1,755,7318571235367,19/07/11 18:49
HH030025,1,755,7318571235367,19/07/11 18:49
HH030026,1,755,7318571235367,19/07/11 18:49
HH030027,1,755,7318571235367,19/07/11 18:49
HH030028,1,755,7318571235367,19/07/11 18:49
HH030029,1,755,7318571235367,19/07/11 18:49
HH030030,1,755,7318571235367,19/07/11 18:49
HH030031,1,755,2757902600514,19/07/11 18:49
HH030032,1,755,2757902600514,19/07/11 18:49
HH030033,1,756,7318571259806,19/07/11 18:50
HH030034,1,756,7318571263308,19/07/11 18:51
HH030035,1,756,7318571259806,19/07/11 18:51
HH030036,1,756,7318571263322,19/07/11 18:51
HH030037,1,756,7318571263322,19/07/11 18:51
HH030038,1,756,7318571259806,19/07/11 18:52
HH030039,1,756,7318571259806,19/07/11 18:52
HH030040,1,756,7318571259806,19/07/11 18:52
HH030041,1,756,7318571259806,19/07/11 18:52
HH030042,1,756,7318571259806,19/07/11 18:52
HH030043,1,756,7318571259806,19/07/11 18:52
HH030044,1,756,7318571263308,19/07/11 18:53
HH030045,1,756,7318571263308,19/07/11 18:53
HH030046,1,756,7318571263308,19/07/11 18:53
HH030047,1,756,7318571263308,19/07/11 18:53
HH030048,1,756,7318571259806,19/07/11 18:53
HH030049,1,756,7318571259806,19/07/11 18:53
HH030050,1,756,7318571259806,19/07/11 18:53
HH030051,1,756,7318571263315,19/07/11 18:53
HH030052,1,756,7318571263315,19/07/11 18:53
HH030053,1,753,7318571099570,19/07/11 18:55
HH030054,1,753,7318571099570,19/07/11 18:55
HH030055,1,753,7318571099570,19/07/11 18:55
HH030056,1,753,7318571099587,19/07/11 18:56
HH030057,1,753,7318571099587,19/07/11 18:56
HH030058,1,753,7318571099600,19/07/11 18:56
HH030059,1,753,7318571099617,19/07/11 18:56
HH030060,1,752,2757902700368,19/07/11 18:57
HH030061,1,752,2757902500364,19/07/11 18:57
HH030062,1,752,2757902600361,19/07/11 18:57
HH030063,1,752,7318571235169,19/07/11 18:58
HH030064,1,752,7318571235169,19/07/11 18:58
HH030065,1,752,7318571235169,19/07/11 18:58
HH030066,1,752,7318571235169,19/07/11 18:58
HH030067,1,752,7318571235169,19/07/11 18:58
HH030068,1,752,7318571235169,19/07/11 18:58
HH030069,1,752,7318571235169,19/07/11 18:58
HH030070,1,752,7318571235169,19/07/11 18:58
HH030071,1,752,7318571235169,19/07/11 18:58
HH030072,1,752,7318571235169,19/07/11 18:58
HH030073,1,752,7318571235169,19/07/11 18:58
HH030074,1,752,7318571235169,19/07/11 18:58
HH030075,1,752,7318571235169,19/07/11 18:58
HH030076,1,752,7318571235169,19/07/11 18:58
HH030077,1,752,7318571235169,19/07/11 18:58
HH030078,1,752,7318571235169,19/07/11 18:58
HH030079,1,752,7318571235169,19/07/11 18:58
HH030080,1,752,7318571235169,19/07/11 18:58
HH030081,1,752,7318571235169,19/07/11 18:58
HH030082,1,752,7318571235169,19/07/11 18:58
HH030083,1,752,7318571235169,19/07/11 18:58
HH030084,1,752,7318571235169,19/07/11 18:58
HH030085,1,752,7318571235169,19/07/11 18:58
HH030086,1,752,7318571235169,19/07/11 18:58
HH030087,1,751,7318571235220,19/07/11 18:59
HH030088,1,751,7318571235220,19/07/11 18:59
HH030089,1,751,7318571235220,19/07/11 18:59
HH030090,1,751,7318571235220,19/07/11 18:59
HH030091,1,751,7318571235220,19/07/11 18:59
HH030092,1,751,7318571235169,19/07/11 19:00
HH030093,1,751,7318571235213,19/07/11 19:00
HH030094,1,751,7318571235213,19/07/11 19:00
HH030095,1,751,7318571235213,19/07/11 19:00
HH030096,1,751,7318571235213,19/07/11 19:00
